CustomerID,purchase_frequency,avg_order_value,last_purchase_days,tenure,target
C001,6,207.12,143,213,Medium
C002,7,93.96,199,90,Low
C003,6,70.04,154,1057,Low
C004,7,129.66,142,944,Low
C005,7,145.58,313,729,Medium
C006,6,196.07,165,280,Medium
C007,11,220.53,314,605,Medium
C008,4,210.72,21,531,Low
C009,8,163.83,82,232,Medium
C010,6,189.97,69,1304,Medium
C011,6,117.98,131,622,Low
C012,12,158.42,87,316,Medium
C013,2,90.44,218,1426,Low
C014,8,153.13,305,1038,Medium
C015,12,154.43,345,1415,Medium
C016,5,236.11,341,549,Medium
C017,7,138.55,161,640,Low
C018,8,154.5,178,482,Medium
C019,6,161.85,117,934,Low
C020,11,127.26,196,1320,Medium
C021,6,109.88,327,299,Low
C022,8,214.94,86,1228,Medium
C023,9,100.95,289,735,Low
C024,11,83.6,81,1364,Low
C025,5,184.01,152,308,Low
C026,9,207.89,61,496,Medium
C027,8,127.43,61,977,Medium
C028,9,128.2,354,647,Medium
C029,8,164.13,28,639,Medium
C030,12,114.61,43,231,Medium
C031,15,110.91,169,701,Medium
C032,9,193.98,86,590,Medium
C033,5,180.36,177,929,Low
C034,7,215.56,17,791,Medium
C035,9,87.37,98,685,Low
C036,6,124.88,198,370,Low
C037,9,164.06,98,513,Medium
C038,5,103.72,65,945,Low
C039,2,182.08,330,359,Low
C040,8,211.23,341,243,Medium
C041,8,120.83,5,703,Low
C042,6,151.93,2,751,Low
C043,9,222.78,22,172,Medium
C044,3,239.96,112,1036,Low
C045,5,187.29,57,988,Low
C046,13,179.67,66,1388,Medium
C047,12,107.31,330,373,Medium
C048,10,167.96,98,1069,Medium
C049,7,177.84,144,262,Medium
C050,6,139.48,125,1440,Low
C051,5,120.26,167,1176,Low
C052,9,85.94,86,1186,Low
C053,6,63.11,76,852,Low
C054,4,52.61,344,722,Low
C055,8,178.97,294,876,Medium
C056,9,157.38,59,1032,Medium
C057,10,125.81,138,1101,Medium
C058,8,133.43,99,487,Medium
C059,13,160.52,192,1233,Medium
C060,6,141.77,243,1023,Low
C061,15,82.97,319,765,Medium
C062,8,195.65,49,1025,Medium
C063,10,165.21,32,554,Medium
C064,5,163.29,277,375,Low
C065,12,191.88,20,354,Medium
C066,9,109.32,154,409,Low
C067,4,210.69,68,762,Low
C068,7,143.0,214,909,Medium
C069,4,194.43,143,178,Low
C070,7,186.72,232,1316,Medium
C071,7,98.06,213,910,Low
C072,7,175.15,79,1090,Medium
C073,8,166.31,214,423,Medium
C074,4,151.52,116,311,Low
C075,8,145.28,92,130,Medium
C076,8,145.71,270,157,Medium
C077,6,190.63,168,1077,Medium
C078,6,178.9,58,603,Medium
C079,11,151.52,284,1240,Medium
C080,7,75.4,26,1368,Low
C081,6,174.72,66,784,Medium
C082,6,186.18,248,1129,Medium
C083,12,265.02,254,566,High
C084,7,203.77,44,1175,Medium
C085,11,55.04,97,970,Low
C086,11,153.92,42,521,Medium
C087,8,240.57,227,357,Medium
C088,7,181.18,262,1148,Medium
C089,9,166.43,167,868,Medium
C090,9,195.01,279,583,Medium
C091,10,118.88,89,750,Medium
C092,13,173.9,178,1438,Medium
C093,5,137.48,197,1417,Low
C094,9,149.02,307,1389,Medium
C095,8,191.42,267,1102,Medium
C096,7,103.66,268,1314,Low
C097,6,214.4,74,1437,Medium
C098,5,128.86,8,1148,Low
C099,9,163.03,297,1066,Medium
C100,6,79.97,164,571,Low
C101,4,185.99,85,817,Low
C102,7,222.33,72,569,Medium
C103,6,124.27,55,1178,Low
C104,3,94.49,47,1121,Low
C105,10,163.9,238,1414,Medium
C106,11,222.74,104,432,Medium
C107,8,77.51,210,421,Low
C108,4,94.68,42,527,Low
C109,5,127.29,316,263,Low
C110,11,108.98,268,648,Medium
C111,6,109.14,263,616,Low
C112,9,45.29,336,748,Low
C113,7,179.45,259,115,Medium
C114,9,166.94,283,909,Medium
C115,7,65.06,114,694,Low
C116,12,222.86,363,495,High
C117,11,234.05,40,321,High
C118,7,112.45,220,622,Low
C119,5,208.33,129,594,Medium
C120,7,121.35,8,268,Low
C121,10,159.06,101,221,Medium
C122,10,108.21,176,437,Medium
C123,3,260.71,107,629,Low
C124,11,135.2,101,861,Medium
